parentusi,telephonenumber,telephonenumbertypedescriptorid,orderofpriority,textmessagecapabilityindicator,donotpublishindicator,createdate
"326","(950) 015 5087","2328",,,,"2020-11-13 14:15:49.643820"
"328","(950) 630 0147","2328","1",,,"2020-11-13 14:15:49.650762"
"330","(950) 608 6257","2328","1",,,"2020-11-13 14:15:49.663470"
"332","(950) 987 4786","2322","1",,,"2020-11-13 14:15:49.671226"
"334","(950) 959 7373","2326","1",,,"2020-11-13 14:15:49.682092"
"336","(950) 671 9571","2323","1",,,"2020-11-13 14:15:49.693567"
"338","(950) 334 9886","2323","1",,,"2020-11-13 14:15:49.706225"
"344","(950) 728 9129","2324","1",,,"2020-11-13 14:15:49.740675"
"345","(950) 153 9108","2323","1",,,"2020-11-13 14:15:49.746450"
"348","(950) 558 1036","2326","1",,,"2020-11-13 14:15:49.760557"
"349","(950) 539 4193","2326","1",,,"2020-11-13 14:15:49.767122"
"351","(950) 831 6579","2323","1",,,"2020-11-13 14:15:49.774070"
"361","(950) 024 2971","2329","1",,,"2020-11-13 14:15:49.834740"
"366","(950) 148 9899","2322","1",,,"2020-11-13 14:15:49.856664"
"369","(950) 311 2532","2323",,,,"2020-11-13 14:15:49.877666"
"369","(950) 875 4427","2324","1",,,"2020-11-13 14:15:49.878251"
"375","(950) 817 2682","2326","1",,,"2020-11-13 14:15:49.902317"
"376","(950) 910 4526","2325","1",,,"2020-11-13 14:15:49.909576"
"377","(950) 035 0353","2329","1",,,"2020-11-13 14:15:49.921084"
"382","(950) 595 4182","2328","1",,,"2020-11-13 14:15:49.944417"
"385","(950) 852 0752","2329","1",,,"2020-11-13 14:15:49.967470"
"388","(950) 360 5363","2325","1",,,"2020-11-13 14:15:49.979057"
"389","(950) 438 4807","2323","1",,,"2020-11-13 14:15:49.987736"
"394","(950) 971 2220","2323","1",,,"2020-11-13 14:15:50.013203"
"396","(950) 238 0029","2322","1",,,"2020-11-13 14:15:50.025714"
"398","(950) 069 4454","2329","1",,,"2020-11-13 14:15:50.034061"
"401","(950) 466 7020","2322","1",,,"2020-11-13 14:15:50.054820"
"401","(950) 238 4163","2326",,,,"2020-11-13 14:15:50.055452"
"405","(950) 081 5538","2329","1",,,"2020-11-13 14:15:50.074235"
"409","(950) 618 6882","2323","1",,,"2020-11-13 14:15:50.099164"
"409","(950) 210 0099","2324",,,,"2020-11-13 14:15:50.099707"
"412","(950) 591 0515","2328","1",,,"2020-11-13 14:15:50.120178"
"416","(950) 641 0632","2324","1",,,"2020-11-13 14:15:50.140349"
"419","(950) 493 4134","2322","1",,,"2020-11-13 14:15:50.145225"
"421","(950) 599 9642","2326","1",,,"2020-11-13 14:15:50.160579"
"422","(950) 236 9958","2322","1",,,"2020-11-13 14:15:50.167043"
"425","(950) 355 6573","2322","1",,,"2020-11-13 14:15:50.181466"
"426","(950) 896 8063","2325","1",,,"2020-11-13 14:15:50.186184"
"430","(950) 450 5013","2327","1",,,"2020-11-13 14:15:50.208201"
"431","(950) 215 3400","2327","1",,,"2020-11-13 14:15:50.223669"
"435","(950) 360 6449","2325","1",,,"2020-11-13 14:15:50.246128"
"441","(950) 613 1951","2329","1",,,"2020-11-13 14:15:50.270212"
"443","(950) 527 5768","2325","1",,,"2020-11-13 14:15:50.290918"
"446","(950) 111 6097","2329","1",,,"2020-11-13 14:15:50.295797"
"448","(950) 390 5302","2325","1",,,"2020-11-13 14:15:50.316677"
"453","(950) 914 6566","2328","1",,,"2020-11-13 14:15:50.342764"
"455","(950) 318 0061","2322","1",,,"2020-11-13 14:15:50.359495"
"458","(950) 463 9444","2324","1",,,"2020-11-13 14:15:50.374299"
"459","(950) 338 0456","2329","1",,,"2020-11-13 14:15:50.380136"
"461","(950) 589 8992","2322","1",,,"2020-11-13 14:15:50.394270"
"465","(950) 507 2176","2327","1",,,"2020-11-13 14:15:50.416205"
"469","(950) 020 7733","2327","1",,,"2020-11-13 14:15:50.437810"
"472","(950) 701 7707","2329","1",,,"2020-11-13 14:15:50.456972"
"477","(950) 289 5316","2326","1",,,"2020-11-13 14:15:50.479145"
"479","(950) 683 0392","2327","1",,,"2020-11-13 14:15:50.490094"
"481","(950) 695 7204","2327","1",,,"2020-11-13 14:15:50.500639"
"484","(950) 530 7987","2323","1",,,"2020-11-13 14:15:50.519923"
"490","(950) 844 9094","2324","1",,,"2020-11-13 14:15:50.547762"
"490","(950) 520 6710","2325",,,,"2020-11-13 14:15:50.548286"
"491","(950) 683 5811","2326","1",,,"2020-11-13 14:15:50.561109"
"491","(950) 220 4190","2328",,,,"2020-11-13 14:15:50.561738"
"495","(950) 778 9273","2324","1",,,"2020-11-13 14:15:50.581618"
"498","(950) 033 3667","2324","1",,,"2020-11-13 14:15:50.599872"
"504","(950) 960 7639","2322","1",,,"2020-11-13 14:15:50.623164"
"506","(950) 402 1163","2325","1",,,"2020-11-13 14:15:50.636766"
"508","(950) 167 6638","2328",,,,"2020-11-13 14:15:50.646947"
"508","(950) 728 3183","2324","1",,,"2020-11-13 14:15:50.647456"
"514","(950) 987 5327","2329","1",,,"2020-11-13 14:15:50.677720"
"515","(950) 943 0640","2326","1",,,"2020-11-13 14:15:50.688551"
"515","(950) 061 9656","2325",,,,"2020-11-13 14:15:50.689052"
"518","(950) 630 4997","2325","1",,,"2020-11-13 14:15:50.699432"
"519","(950) 974 2495","2324","1",,,"2020-11-13 14:15:50.708199"
"522","(950) 984 0014","2325","1",,,"2020-11-13 14:15:50.723155"
"524","(950) 511 9559","2325","1",,,"2020-11-13 14:15:50.734072"
"527","(950) 011 9157","2322","1",,,"2020-11-13 14:15:50.750129"
"529","(950) 792 5267","2328","1",,,"2020-11-13 14:15:51.009949"
"532","(950) 173 7694","2327","1",,,"2020-11-13 14:15:51.014289"
"534","(950) 487 0405","2324","1",,,"2020-11-13 14:15:51.036639"
"537","(950) 287 4315","2325","1",,,"2020-11-13 14:15:51.052442"
"539","(950) 554 8812","2326","1",,,"2020-11-13 14:15:51.060757"
"542","(950) 624 3317","2328","1",,,"2020-11-13 14:15:51.088302"
"549","(950) 106 1264","2328","1",,,"2020-11-13 14:15:51.129259"
"551","(950) 115 9761","2322",,,,"2020-11-13 14:15:51.146106"
"551","(950) 845 3256","2329","1",,,"2020-11-13 14:15:51.146689"
"558","(950) 421 8020","2329","1",,,"2020-11-13 14:15:51.188577"
"564","(950) 837 6176","2325","1",,,"2020-11-13 14:15:51.217594"
"565","(950) 081 5864","2329","1",,,"2020-11-13 14:15:51.227273"
"567","(950) 338 1352","2328","1",,,"2020-11-13 14:15:51.240125"
"571","(950) 647 3808","2325","1",,,"2020-11-13 14:15:51.265137"
"574","(950) 800 3179","2329","1",,,"2020-11-13 14:15:51.282340"
"576","(950) 788 3176","2329","1",,,"2020-11-13 14:15:51.287780"
"578","(950) 653 3628","2323","1",,,"2020-11-13 14:15:51.311480"
"583","(950) 772 1104","2324","1",,,"2020-11-13 14:15:51.338406"
"591","(950) 112 7902","2326","1",,,"2020-11-13 14:15:51.378211"
"594","(950) 938 6897","2322","1",,,"2020-11-13 14:15:51.396077"
"594","(950) 065 0111","2327",,,,"2020-11-13 14:15:51.396667"
"598","(950) 025 8130","2323","1",,,"2020-11-13 14:15:51.422171"
"613","(950) 706 6556","2327","1",,,"2020-11-13 14:15:51.506822"
"614","(950) 258 9998","2325","1",,,"2020-11-13 14:15:51.513129"
"622","(950) 927 0444","2322","1",,,"2020-11-13 14:15:51.559707"
"623","(950) 281 3790","2325","1",,,"2020-11-13 14:15:51.566741"
"633","(950) 717 8183","2327","1",,,"2020-11-13 14:15:51.619047"
"634","(950) 715 8665","2328","1",,,"2020-11-13 14:15:51.631383"
"637","(950) 750 1708","2329","1",,,"2020-11-13 14:15:51.643172"
"640","(950) 316 3761","2328","1",,,"2020-11-13 14:15:51.656922"
"643","(950) 785 7658","2322","1",,,"2020-11-13 14:15:51.677564"
"650","(950) 244 3273","2327","1",,,"2020-11-13 14:15:51.718478"
"650","(950) 430 4144","2325",,,,"2020-11-13 14:15:51.719026"
"655","(950) 402 4908","2322",,,,"2020-11-13 14:15:51.745482"
"655","(950) 210 5308","2323","1",,,"2020-11-13 14:15:51.746092"
"659","(950) 778 0870","2324","1",,,"2020-11-13 14:15:52.006130"
"355","(950) 054 2359","2322","1",,,"2020-11-13 14:15:49.795140"
"359","(950) 042 3232","2326","1",,,"2020-11-13 14:15:49.815443"
"363","(950) 385 1722","2327","1",,,"2020-11-13 14:15:49.836288"
"371","(950) 491 6278","2324","1",,,"2020-11-13 14:15:49.879688"
"371","(950) 513 7884","2325",,,,"2020-11-13 14:15:49.880267"
"374","(950) 091 2770","2322","1",,,"2020-11-13 14:15:49.902331"
"410","(950) 918 7144","2324","1",,,"2020-11-13 14:15:50.099364"
"432","(950) 661 2894","2326","1",,,"2020-11-13 14:15:50.222816"
"438","(950) 227 5826","2326","1",,,"2020-11-13 14:15:50.251200"
"442","(950) 089 4592","2327","1",,,"2020-11-13 14:15:50.274549"
"449","(950) 380 1969","2326","1",,,"2020-11-13 14:15:50.318046"
"468","(950) 165 9892","2326","1",,,"2020-11-13 14:15:50.435203"
"468","(950) 717 2951","2327",,,,"2020-11-13 14:15:50.435820"
"488","(950) 199 2012","2324","1",,,"2020-11-13 14:15:50.541046"
"500","(950) 141 8990","2329","1",,,"2020-11-13 14:15:50.603902"
"516","(950) 978 8453","2323","1",,,"2020-11-13 14:15:50.689690"
"528","(950) 151 2516","2322",,,,"2020-11-13 14:15:50.755663"
"528","(950) 746 8097","2325","1",,,"2020-11-13 14:15:50.756161"
"547","(950) 661 1557","2328","1",,,"2020-11-13 14:15:51.121253"
"552","(950) 283 2790","2329","1",,,"2020-11-13 14:15:51.146201"
"554","(950) 122 9292","2322","1",,,"2020-11-13 14:15:51.166983"
"554","(950) 852 2662","2323",,,,"2020-11-13 14:15:51.168005"
"562","(950) 123 0733","2323",,,,"2020-11-13 14:15:51.217611"
"562","(950) 866 7254","2329","1",,,"2020-11-13 14:15:51.218190"
"595","(950) 132 9776","2327","1",,,"2020-11-13 14:15:51.407234"
"595","(950) 241 7550","2325",,,,"2020-11-13 14:15:51.407834"
"606","(950) 133 6478","2328","1",,,"2020-11-13 14:15:51.467884"
"625","(950) 094 2383","2322","1",,,"2020-11-13 14:15:51.575619"
"625","(950) 005 1372","2323",,,,"2020-11-13 14:15:51.576621"
"651","(950) 839 4488","2328","1",,,"2020-11-13 14:15:51.719427"
"651","(950) 803 3757","2325",,,,"2020-11-13 14:15:51.719971"
"657","(950) 986 9922","2323","1",,,"2020-11-13 14:15:51.761542"
"661","(950) 979 8556","2322",,,,"2020-11-13 14:15:52.009495"
"661","(950) 812 6215","2324","1",,,"2020-11-13 14:15:52.010157"
"662","(950) 583 3422","2325","1",,,"2020-11-13 14:15:52.029187"
"676","(950) 038 7292","2325","1",,,"2020-11-13 14:15:52.098700"
"681","(950) 471 1821","2322","1",,,"2020-11-13 14:15:52.351847"
"686","(950) 799 8074","2323","1",,,"2020-11-13 14:15:52.392329"
"712","(950) 680 8504","2327",,,,"2020-11-13 14:15:52.536671"
"712","(950) 160 6876","2329","1",,,"2020-11-13 14:15:52.537490"
"728","(950) 953 2314","2328","1",,,"2020-11-13 14:15:52.627265"
"770","(950) 679 8312","2324","1",,,"2020-11-13 14:15:52.869569"
"774","(950) 455 6302","2329","1",,,"2020-11-13 14:15:52.889985"
"776","(950) 068 7641","2327","1",,,"2020-11-13 14:15:52.906852"
"802","(950) 388 5357","2322","1",,,"2020-11-13 14:15:53.043040"
"811","(950) 661 6367","2326","1",,,"2020-11-13 14:15:53.089169"
"811","(950) 970 8955","2328",,,,"2020-11-13 14:15:53.089688"
"815","(950) 600 6091","2323","1",,,"2020-11-13 14:15:53.327037"
"848","(950) 413 7379","2323","1",,,"2020-11-13 14:15:53.508573"
"856","(950) 601 9222","2329","1",,,"2020-11-13 14:15:53.550614"
"861","(950) 274 0457","2325","1",,,"2020-11-13 14:15:53.576742"
"863","(950) 201 5075","2328","1",,,"2020-11-13 14:15:53.592074"
"872","(950) 567 8996","2326","1",,,"2020-11-13 14:15:53.638387"
"889","(950) 150 0773","2324","1",,,"2020-11-13 14:15:53.733143"
"897","(950) 758 6894","2326","1",,,"2020-11-13 14:15:53.776580"
"897","(950) 761 5520","2329",,,,"2020-11-13 14:15:53.777173"
"912","(950) 694 2803","2324","1",,,"2020-11-13 14:15:54.079937"
"921","(950) 247 7231","2327","1",,,"2020-11-13 14:15:54.132988"
"921","(950) 240 3544","2329",,,,"2020-11-13 14:15:54.133549"
"946","(950) 276 9579","2325","1",,,"2020-11-13 14:15:54.261456"
"950","(950) 228 2100","2325","1",,,"2020-11-13 14:15:54.287584"
"964","(950) 887 2210","2323","1",,,"2020-11-13 14:15:54.365911"
"979","(950) 914 4563","2329","1",,,"2020-11-13 14:15:54.451392"
"991","(950) 129 6118","2327","1",,,"2020-11-13 14:15:54.513359"
"993","(950) 514 0004","2324","1",,,"2020-11-13 14:15:54.782905"
"999","(950) 783 4295","2322","1",,,"2020-11-13 14:15:54.805387"
"1003","(950) 117 2110","2328","1",,,"2020-11-13 14:15:55.062220"
"1006","(950) 792 5673","2323","1",,,"2020-11-13 14:15:55.081307"
"1006","(950) 374 0901","2327",,,,"2020-11-13 14:15:55.081950"
"1032","(950) 634 5162","2327","1",,,"2020-11-13 14:15:55.219584"
"1101","(950) 347 7667","2327","1",,,"2020-11-13 14:15:55.595210"
"1105","(950) 115 0418","2322","1",,,"2020-11-13 14:15:55.616815"
"1120","(950) 437 1369","2326","1",,,"2020-11-13 14:15:55.699993"
"1120","(950) 581 8148","2327",,,,"2020-11-13 14:15:55.700754"
"1126","(950) 462 7748","2327","1",,,"2020-11-13 14:15:55.722601"
"1165","(950) 279 4150","2329","1",,,"2020-11-13 14:15:55.942135"
"1171","(950) 545 2920","2327","1",,,"2020-11-13 14:15:55.970387"
"1185","(950) 266 5654","2329","1",,,"2020-11-13 14:15:56.045697"
"1188","(950) 095 4642","2329",,,,"2020-11-13 14:15:56.156456"
"1188","(950) 921 2717","2328","1",,,"2020-11-13 14:15:56.156973"
"1195","(950) 460 1918","2327","1",,,"2020-11-13 14:15:56.193634"
"1200","(950) 771 8526","2325","1",,,"2020-11-13 14:15:56.218775"
"1207","(950) 612 7875","2323","1",,,"2020-11-13 14:15:56.256270"
"1211","(950) 173 6828","2329","1",,,"2020-11-13 14:15:56.503022"
"1214","(950) 094 8448","2328","1",,,"2020-11-13 14:15:56.523196"
"1217","(950) 768 9151","2329","1",,,"2020-11-13 14:15:56.544278"
"1238","(950) 981 0250","2326","1",,,"2020-11-13 14:15:56.660850"
"1243","(950) 839 9382","2325","1",,,"2020-11-13 14:15:56.682283"
"1246","(950) 805 1507","2322","1",,,"2020-11-13 14:15:56.702165"
"1255","(950) 633 8958","2326","1",,,"2020-11-13 14:15:56.745611"
"1285","(950) 531 8816","2322","1",,,"2020-11-13 14:15:56.913614"
"1285","(950) 775 9388","2325",,,,"2020-11-13 14:15:56.914617"
"1313","(950) 536 1750","2329","1",,,"2020-11-13 14:15:57.068014"
"1323","(950) 601 4293","2326",,,,"2020-11-13 14:15:57.116347"
"1323","(950) 828 6338","2327","1",,,"2020-11-13 14:15:57.117031"
"1384","(950) 639 4197","2329","1",,,"2020-11-13 14:15:57.459093"
"1391","(950) 660 7302","2329","1",,,"2020-11-13 14:15:57.495807"
"1393","(950) 404 3464","2327","1",,,"2020-11-13 14:15:57.513246"
"1396","(950) 638 9889","2327","1",,,"2020-11-13 14:15:57.534104"
"1406","(950) 015 2271","2326","1",,,"2020-11-13 14:15:57.575577"
"1414","(950) 707 8444","2328","1",,,"2020-11-13 14:15:57.616938"
"1426","(950) 584 7831","2329","1",,,"2020-11-13 14:15:57.679411"
"1428","(950) 903 9570","2324","1",,,"2020-11-13 14:15:57.698261"
"1434","(950) 686 6308","2322","1",,,"2020-11-13 14:15:57.723916"
"1438","(950) 689 0533","2327","1",,,"2020-11-13 14:15:57.745853"
"1442","(950) 799 0979","2328","1",,,"2020-11-13 14:15:57.767575"
"1445","(950) 974 5159","2326","1",,,"2020-11-13 14:15:57.789801"
"1445","(950) 554 7736","2324",,,,"2020-11-13 14:15:57.790363"
"1455","(950) 460 4592","2329","1",,,"2020-11-13 14:15:57.852166"
"1455","(950) 116 1642","2324",,,,"2020-11-13 14:15:57.852819"
"1460","(950) 418 6975","2328","1",,,"2020-11-13 14:15:57.873421"
"1465","(950) 762 8365","2327","1",,,"2020-11-13 14:15:57.893630"
"1474","(950) 172 3456","2328","1",,,"2020-11-13 14:15:57.945998"
"1477","(950) 181 6950","2326","1",,,"2020-11-13 14:15:57.957526"
"1490","(950) 227 3524","2326","1",,,"2020-11-13 14:15:58.034113"
"1490","(950) 485 4687","2329",,,,"2020-11-13 14:15:58.034683"
"1500","(950) 947 6210","2327","1",,,"2020-11-13 14:15:58.078087"
"1515","(950) 060 9743","2326","1",,,"2020-11-13 14:15:58.158133"
"1544","(950) 399 5153","2322","1",,,"2020-11-13 14:15:58.321679"
"1562","(950) 637 3950","2322",,,,"2020-11-13 14:15:58.415335"
"1562","(950) 148 1883","2328","1",,,"2020-11-13 14:15:58.416051"
"1568","(950) 204 0905","2329","1",,,"2020-11-13 14:15:58.439804"
"466","(950) 825 5830","2327","1",,,"2020-11-13 14:15:50.416583"
"470","(950) 534 8565","2326","1",,,"2020-11-13 14:15:50.441147"
"473","(950) 518 4681","2328","1",,,"2020-11-13 14:15:50.456992"
"475","(950) 124 9721","2322","1",,,"2020-11-13 14:15:50.469064"
"476","(950) 816 1315","2329","1",,,"2020-11-13 14:15:50.479232"
"476","(950) 637 2555","2325",,,,"2020-11-13 14:15:50.479849"
"485","(950) 986 9966","2328","1",,,"2020-11-13 14:15:50.522985"
"492","(950) 318 2448","2323","1",,,"2020-11-13 14:15:50.563897"
"494","(950) 900 2349","2324","1",,,"2020-11-13 14:15:50.571109"
"496","(950) 857 0539","2322","1",,,"2020-11-13 14:15:50.584730"
"499","(950) 424 3106","2329","1",,,"2020-11-13 14:15:50.603213"
"510","(950) 402 2266","2329","1",,,"2020-11-13 14:15:50.657236"
"512","(950) 917 1743","2322","1",,,"2020-11-13 14:15:50.666897"
"520","(950) 744 6678","2323","1",,,"2020-11-13 14:15:50.710262"
"525","(950) 496 7636","2322","1",,,"2020-11-13 14:15:50.742448"
"530","(950) 255 2152","2323","1",,,"2020-11-13 14:15:51.013320"
"536","(950) 501 9279","2323","1",,,"2020-11-13 14:15:51.039051"
"540","(950) 253 4338","2326","1",,,"2020-11-13 14:15:51.061627"
"541","(950) 242 5657","2326","1",,,"2020-11-13 14:15:51.081402"
"544","(950) 124 4270","2323","1",,,"2020-11-13 14:15:51.090899"
"548","(950) 562 9136","2328","1",,,"2020-11-13 14:15:51.121281"
"550","(950) 296 7755","2328","1",,,"2020-11-13 14:15:51.144310"
"556","(950) 967 9129","2325","1",,,"2020-11-13 14:15:51.168919"
"560","(950) 471 1619","2329","1",,,"2020-11-13 14:15:51.191365"
"568","(950) 408 2764","2322","1",,,"2020-11-13 14:15:51.240451"
"572","(950) 874 8835","2327",,,,"2020-11-13 14:15:51.264593"
"572","(950) 613 8412","2328","1",,,"2020-11-13 14:15:51.265177"
"575","(950) 619 1671","2325","1",,,"2020-11-13 14:15:51.285139"
"579","(950) 906 0432","2328","1",,,"2020-11-13 14:15:51.309810"
"580","(950) 806 8775","2322",,,,"2020-11-13 14:15:51.315095"
"580","(950) 397 3209","2328","1",,,"2020-11-13 14:15:51.315790"
"584","(950) 870 3144","2323","1",,,"2020-11-13 14:15:51.340858"
"585","(950) 692 3995","2326","1",,,"2020-11-13 14:15:51.351557"
"587","(950) 310 0847","2324","1",,,"2020-11-13 14:15:51.358521"
"590","(950) 537 7240","2326","1",,,"2020-11-13 14:15:51.376337"
"600","(950) 105 5442","2327",,,,"2020-11-13 14:15:51.434939"
"600","(950) 436 6296","2324","1",,,"2020-11-13 14:15:51.435582"
"602","(950) 069 5601","2323","1",,,"2020-11-13 14:15:51.445514"
"603","(950) 265 3888","2328",,,,"2020-11-13 14:15:51.456115"
"603","(950) 993 0961","2324","1",,,"2020-11-13 14:15:51.456699"
"608","(950) 707 9568","2327","1",,,"2020-11-13 14:15:51.479636"
"609","(950) 123 9582","2326","1",,,"2020-11-13 14:15:51.486483"
"611","(950) 935 1403","2322","1",,,"2020-11-13 14:15:51.499184"
"616","(950) 369 0312","2323",,,,"2020-11-13 14:15:51.527225"
"616","(950) 837 8580","2326","1",,,"2020-11-13 14:15:51.527890"
"619","(950) 406 9565","2328",,,,"2020-11-13 14:15:51.544607"
"619","(950) 951 9817","2325","1",,,"2020-11-13 14:15:51.545262"
"621","(950) 865 6682","2328","1",,,"2020-11-13 14:15:51.551470"
"624","(950) 052 4933","2324","1",,,"2020-11-13 14:15:51.571200"
"627","(950) 309 7439","2324","1",,,"2020-11-13 14:15:51.587209"
"628","(950) 377 2805","2327","1",,,"2020-11-13 14:15:51.592516"
"631","(950) 945 4603","2323","1",,,"2020-11-13 14:15:51.607563"
"636","(950) 583 9767","2325","1",,,"2020-11-13 14:15:51.635421"
"639","(950) 174 6225","2328","1",,,"2020-11-13 14:15:51.655721"
"639","(950) 724 5773","2324",,,,"2020-11-13 14:15:51.656343"
"645","(950) 011 2682","2324","1",,,"2020-11-13 14:15:51.690883"
"647","(950) 074 8144","2323","1",,,"2020-11-13 14:15:51.698187"
"653","(950) 270 3560","2328","1",,,"2020-11-13 14:15:51.740853"
"656","(950) 955 8262","2327","1",,,"2020-11-13 14:15:51.754355"
"660","(950) 597 0112","2326","1",,,"2020-11-13 14:15:52.007924"
"664","(950) 946 1096","2324","1",,,"2020-11-13 14:15:52.032688"
"668","(950) 870 9935","2322","1",,,"2020-11-13 14:15:52.053392"
"671","(950) 190 5105","2326",,,,"2020-11-13 14:15:52.076396"
"671","(950) 341 0969","2327","1",,,"2020-11-13 14:15:52.076960"
"675","(950) 459 2794","2324","1",,,"2020-11-13 14:15:52.097386"
"678","(950) 832 9304","2324","1",,,"2020-11-13 14:15:52.349927"
"685","(950) 699 8059","2324","1",,,"2020-11-13 14:15:52.388928"
"693","(950) 133 1658","2328","1",,,"2020-11-13 14:15:52.433439"
"698","(950) 961 0689","2324","1",,,"2020-11-13 14:15:52.457396"
"710","(950) 097 8319","2326","1",,,"2020-11-13 14:15:52.522903"
"717","(950) 842 9789","2322","1",,,"2020-11-13 14:15:52.564886"
"724","(950) 633 9125","2323","1",,,"2020-11-13 14:15:52.604710"
"732","(950) 493 2054","2323","1",,,"2020-11-13 14:15:52.650916"
"738","(950) 626 2762","2329","1",,,"2020-11-13 14:15:52.688965"
"742","(950) 353 3065","2323",,,,"2020-11-13 14:15:52.714931"
"742","(950) 709 6662","2328","1",,,"2020-11-13 14:15:52.715513"
"747","(950) 827 7624","2329","1",,,"2020-11-13 14:15:52.737253"
"750","(950) 197 1908","2328","1",,,"2020-11-13 14:15:52.758303"
"758","(950) 645 0773","2323","1",,,"2020-11-13 14:15:52.804026"
"758","(950) 215 1300","2325",,,,"2020-11-13 14:15:52.804681"
"761","(950) 233 6124","2323","1",,,"2020-11-13 14:15:52.824930"
"761","(950) 941 9924","2329",,,,"2020-11-13 14:15:52.827238"
"765","(950) 765 5732","2326","1",,,"2020-11-13 14:15:52.846113"
"767","(950) 762 8225","2324","1",,,"2020-11-13 14:15:52.850295"
"773","(950) 350 6205","2323",,,,"2020-11-13 14:15:52.888142"
"773","(950) 583 4571","2328","1",,,"2020-11-13 14:15:52.888678"
"777","(950) 376 4639","2326",,,,"2020-11-13 14:15:52.909199"
"777","(950) 552 8871","2325","1",,,"2020-11-13 14:15:52.909801"
"781","(950) 542 4689","2323","1",,,"2020-11-13 14:15:52.928067"
"786","(950) 346 4453","2328","1",,,"2020-11-13 14:15:52.956510"
"788","(950) 383 3904","2325","1",,,"2020-11-13 14:15:52.967263"
"791","(950) 348 2114","2323","1",,,"2020-11-13 14:15:52.986082"
"793","(950) 666 7390","2323","1",,,"2020-11-13 14:15:52.991521"
"798","(950) 413 3846","2323","1",,,"2020-11-13 14:15:53.019182"
"799","(950) 664 7070","2326",,,,"2020-11-13 14:15:53.026748"
"799","(950) 797 4161","2324","1",,,"2020-11-13 14:15:53.027245"
"803","(950) 446 0143","2329","1",,,"2020-11-13 14:15:53.049071"
"807","(950) 060 6167","2325","1",,,"2020-11-13 14:15:53.069706"
"810","(950) 469 1281","2328","1",,,"2020-11-13 14:15:53.082498"
"814","(950) 829 6498","2329","1",,,"2020-11-13 14:15:53.324051"
"814","(950) 476 0086","2324",,,,"2020-11-13 14:15:53.324688"
"818","(950) 582 2873","2325","1",,,"2020-11-13 14:15:53.344302"
"823","(950) 708 1896","2323","1",,,"2020-11-13 14:15:53.376388"
"831","(950) 560 7896","2322","1",,,"2020-11-13 14:15:53.420368"
"835","(950) 846 8475","2327","1",,,"2020-11-13 14:15:53.440954"
"838","(950) 554 9798","2328","1",,,"2020-11-13 14:15:53.459538"
"847","(950) 682 4140","2328","1",,,"2020-11-13 14:15:53.508016"
"852","(950) 886 9703","2322","1",,,"2020-11-13 14:15:53.528804"
"855","(950) 518 1296","2328",,,,"2020-11-13 14:15:53.549359"
"855","(950) 887 9791","2324","1",,,"2020-11-13 14:15:53.549910"
"858","(950) 408 8521","2324","1",,,"2020-11-13 14:15:53.566208"
"860","(950) 000 8436","2326","1",,,"2020-11-13 14:15:53.576774"
"867","(950) 435 4750","2327","1",,,"2020-11-13 14:15:53.613882"
"867","(950) 780 1014","2328",,,,"2020-11-13 14:15:53.614737"
"876","(950) 806 2661","2323",,,,"2020-11-13 14:15:53.660135"
"876","(950) 358 6499","2326","1",,,"2020-11-13 14:15:53.660707"
"878","(950) 625 3364","2328","1",,,"2020-11-13 14:15:53.671663"
"879","(950) 877 7822","2327","1",,,"2020-11-13 14:15:53.682331"
"884","(950) 521 5069","2323",,,,"2020-11-13 14:15:53.705786"
"884","(950) 327 0015","2325","1",,,"2020-11-13 14:15:53.706349"
"887","(950) 526 9405","2328",,,,"2020-11-13 14:15:53.728689"
"887","(950) 452 0172","2325","1",,,"2020-11-13 14:15:53.729260"
"533","(950) 039 8202","2329","1",,,"2020-11-13 14:15:51.030319"
"535","(950) 705 2488","2322","1",,,"2020-11-13 14:15:51.037013"
"538","(950) 437 2455","2328","1",,,"2020-11-13 14:15:51.059938"
"543","(950) 766 8761","2328",,,,"2020-11-13 14:15:51.088315"
"543","(950) 251 6795","2324","1",,,"2020-11-13 14:15:51.089026"
"545","(950) 445 2357","2325","1",,,"2020-11-13 14:15:51.103649"
"546","(950) 016 8364","2327","1",,,"2020-11-13 14:15:51.121046"
"553","(950) 312 3993","2328","1",,,"2020-11-13 14:15:51.150926"
"555","(950) 522 0372","2326",,,,"2020-11-13 14:15:51.168952"
"555","(950) 742 2972","2325","1",,,"2020-11-13 14:15:51.169491"
"557","(950) 640 5363","2328","1",,,"2020-11-13 14:15:51.176400"
"559","(950) 972 1424","2323","1",,,"2020-11-13 14:15:51.188577"
"561","(950) 054 2205","2322","1",,,"2020-11-13 14:15:51.201314"
"563","(950) 334 2488","2329",,,,"2020-11-13 14:15:51.217532"
"563","(950) 491 0772","2325","1",,,"2020-11-13 14:15:51.218197"
"566","(950) 876 0458","2326","1",,,"2020-11-13 14:15:51.240037"
"569","(950) 849 4223","2326","1",,,"2020-11-13 14:15:51.250618"
"570","(950) 292 4566","2327","1",,,"2020-11-13 14:15:51.262519"
"573","(950) 840 4964","2328","1",,,"2020-11-13 14:15:51.274207"
"577","(950) 215 2247","2326","1",,,"2020-11-13 14:15:51.297765"
"581","(950) 353 6233","2328",,,,"2020-11-13 14:15:51.327954"
