assigningorganizationidentificationcode,educationorganizationid,studentidentificationsystemdescriptorid,studentusi,identificationcode,createdate
"Local","255901","2249","353","173","2020-11-13 14:17:31.163360"
"SSN","255901","2253","353","4402040514","2020-11-13 14:17:31.163904"
"Local","255901","2249","359","179","2020-11-13 14:17:31.207548"
"SSN","255901","2253","359","2898370564","2020-11-13 14:17:31.208069"
"Local","255901","2249","392","212","2020-11-13 14:17:31.438061"
"SSN","255901","2253","392","3156482402","2020-11-13 14:17:31.438479"
"Local","255901","2249","396","216","2020-11-13 14:17:31.461737"
"SSN","255901","2253","396","4460634257","2020-11-13 14:17:31.462192"
"Local","255901","2249","423","242","2020-11-13 14:17:31.632413"
"SSN","255901","2253","423","7583376326","2020-11-13 14:17:31.633098"
"Local","255901","2249","431","251","2020-11-13 14:17:31.688965"
"SSN","255901","2253","431","7271529933","2020-11-13 14:17:31.689481"
"Local","255901","2249","434","254","2020-11-13 14:17:31.713624"
"SSN","255901","2253","434","1892872138","2020-11-13 14:17:31.714112"
"Local","255901","2249","441","261","2020-11-13 14:17:31.747583"
"SSN","255901","2253","441","4866040535","2020-11-13 14:17:31.748336"
"Local","255901","2249","445","265","2020-11-13 14:17:31.773297"
"SSN","255901","2253","445","8361361791","2020-11-13 14:17:31.774004"
"Local","255901","2249","449","269","2020-11-13 14:17:31.798030"
"SSN","255901","2253","449","1704359431","2020-11-13 14:17:31.798564"
"Local","255901","2249","451","271","2020-11-13 14:17:31.824368"
"SSN","255901","2253","451","8952101198","2020-11-13 14:17:31.824852"
"Local","255901","2249","456","276","2020-11-13 14:17:31.852430"
"SSN","255901","2253","456","9818195391","2020-11-13 14:17:31.852849"
"Local","255901","2249","459","280","2020-11-13 14:17:31.869954"
"SSN","255901","2253","459","4696499123","2020-11-13 14:17:31.870388"
"Local","255901","2249","461","282","2020-11-13 14:17:31.893805"
"SSN","255901","2253","461","7660977580","2020-11-13 14:17:31.894402"
"Local","255901","2249","472","290","2020-11-13 14:17:31.945940"
"SSN","255901","2253","472","2935660330","2020-11-13 14:17:31.946570"
"Local","255901","2249","475","295","2020-11-13 14:17:31.976363"
"SSN","255901","2253","475","7804467697","2020-11-13 14:17:31.976817"
"Local","255901","2249","482","302","2020-11-13 14:17:32.025040"
"SSN","255901","2253","482","1784825579","2020-11-13 14:17:32.025443"
"Local","255901","2249","488","308","2020-11-13 14:17:32.055120"
"SSN","255901","2253","488","5373865437","2020-11-13 14:17:32.055565"
"Local","255901","2249","493","313","2020-11-13 14:17:32.080111"
"SSN","255901","2253","493","4932123324","2020-11-13 14:17:32.080626"
"Local","255901","2249","498","317","2020-11-13 14:17:32.106853"
"SSN","255901","2253","498","2784859813","2020-11-13 14:17:32.107430"
"Local","255901","2249","501","321","2020-11-13 14:17:32.130420"
"SSN","255901","2253","501","3081042912","2020-11-13 14:17:32.130858"
"Local","255901","2249","504","324","2020-11-13 14:17:32.155488"
"SSN","255901","2253","504","7296060876","2020-11-13 14:17:32.156003"
"Local","255901","2249","521","341","2020-11-13 14:17:32.269493"
"SSN","255901","2253","521","4786830976","2020-11-13 14:17:32.269956"
"Local","255901","2249","527","347","2020-11-13 14:17:32.297694"
"SSN","255901","2253","527","2494001991","2020-11-13 14:17:32.298322"
"Local","255901","2249","531","351","2020-11-13 14:17:32.322510"
"SSN","255901","2253","531","9731316171","2020-11-13 14:17:32.322923"
"Local","255901","2249","538","356","2020-11-13 14:17:32.346419"
"SSN","255901","2253","538","3430569852","2020-11-13 14:17:32.346831"
"Local","255901","2249","540","360","2020-11-13 14:17:32.369999"
"SSN","255901","2253","540","3240370141","2020-11-13 14:17:32.370487"
"Local","255901","2249","543","363","2020-11-13 14:17:32.393823"
"SSN","255901","2253","543","8107594098","2020-11-13 14:17:32.394363"
"Local","255901","2249","547","367","2020-11-13 14:17:32.423904"
"SSN","255901","2253","547","2266650752","2020-11-13 14:17:32.424381"
"Local","255901","2249","556","376","2020-11-13 14:17:32.496190"
"SSN","255901","2253","556","7435316885","2020-11-13 14:17:32.496629"
"Local","255901","2249","562","382","2020-11-13 14:17:32.541055"
"SSN","255901","2253","562","9779816402","2020-11-13 14:17:32.541620"
"Local","255901","2249","566","386","2020-11-13 14:17:32.569087"
"SSN","255901","2253","566","5778706183","2020-11-13 14:17:32.569779"
"Local","255901","2249","569","390","2020-11-13 14:17:32.595041"
"SSN","255901","2253","569","8323185901","2020-11-13 14:17:32.595521"
"Local","255901","2249","577","397","2020-11-13 14:17:32.632285"
"SSN","255901","2253","577","7050392476","2020-11-13 14:17:32.633618"
"Local","255901","2249","579","399","2020-11-13 14:17:32.652353"
"SSN","255901","2253","579","3686943482","2020-11-13 14:17:32.652879"
"Local","255901","2249","582","402","2020-11-13 14:17:32.680665"
"SSN","255901","2253","582","4882675346","2020-11-13 14:17:32.681174"
"Local","255901","2249","608","427","2020-11-13 14:17:32.836675"
"SSN","255901","2253","608","1807944240","2020-11-13 14:17:32.837147"
"Local","255901","2249","612","432","2020-11-13 14:17:32.863597"
"SSN","255901","2253","612","8195989115","2020-11-13 14:17:32.864152"
"Local","255901","2249","616","436","2020-11-13 14:17:32.889785"
"SSN","255901","2253","616","3623333984","2020-11-13 14:17:32.890592"
"Local","255901","2249","618","438","2020-11-13 14:17:32.909777"
"SSN","255901","2253","618","4183202269","2020-11-13 14:17:32.910272"
"Local","255901","2249","664","484","2020-11-13 14:17:33.217705"
"SSN","255901","2253","664","3245272609","2020-11-13 14:17:33.218130"
"Local","255901","2249","671","491","2020-11-13 14:17:33.248177"
"SSN","255901","2253","671","8594432807","2020-11-13 14:17:33.248547"
"Local","255901","2249","675","495","2020-11-13 14:17:33.273691"
"SSN","255901","2253","675","8542449954","2020-11-13 14:17:33.274092"
"Local","255901","2249","676","496","2020-11-13 14:17:33.291958"
"Local","255901","2249","69","889","2020-11-13 14:17:28.989549"
"SSN","255901","2253","69","3246541804","2020-11-13 14:17:28.990261"
"Local","255901","2249","74","894","2020-11-13 14:17:29.012921"
"SSN","255901","2253","74","7333719726","2020-11-13 14:17:29.013402"
"Local","255901","2249","75","895","2020-11-13 14:17:29.026699"
"SSN","255901","2253","75","2057587331","2020-11-13 14:17:29.027345"
"Local","255901","2249","76","898","2020-11-13 14:17:29.041903"
"SSN","255901","2253","76","4966787016","2020-11-13 14:17:29.042302"
"Local","255901","2249","82","902","2020-11-13 14:17:29.071824"
"SSN","255901","2253","82","3368663256","2020-11-13 14:17:29.072278"
"Local","255901","2249","86","906","2020-11-13 14:17:29.101472"
"SSN","255901","2253","86","4099546152","2020-11-13 14:17:29.102042"
"Local","255901","2249","90","910","2020-11-13 14:17:29.125390"
"SSN","255901","2253","90","8093334725","2020-11-13 14:17:29.125866"
"Local","255901","2249","99","919","2020-11-13 14:17:29.191539"
"SSN","255901","2253","99","9169373790","2020-11-13 14:17:29.192222"
"Local","255901","2249","104","924","2020-11-13 14:17:29.220175"
"SSN","255901","2253","104","4746885334","2020-11-13 14:17:29.220593"
"Local","255901","2249","109","929","2020-11-13 14:17:29.269375"
"SSN","255901","2253","109","9478578283","2020-11-13 14:17:29.269905"
"Local","255901","2249","112","932","2020-11-13 14:17:29.277105"
"SSN","255901","2253","112","8138301478","2020-11-13 14:17:29.278797"
"Local","255901","2249","115","935","2020-11-13 14:17:29.300894"
"SSN","255901","2253","115","3587815541","2020-11-13 14:17:29.301422"
"Local","255901","2249","119","939","2020-11-13 14:17:29.328598"
"SSN","255901","2253","119","2962608760","2020-11-13 14:17:29.329003"
"Local","255901","2249","121","941","2020-11-13 14:17:29.345384"
"SSN","255901","2253","121","2456374172","2020-11-13 14:17:29.345903"
"Local","255901","2249","122","942","2020-11-13 14:17:29.351921"
"SSN","255901","2253","122","4679846220","2020-11-13 14:17:29.352433"
"Local","255901","2249","125","945","2020-11-13 14:17:29.375713"
"SSN","255901","2253","125","3293407213","2020-11-13 14:17:29.376242"
"Local","255901","2249","129","949","2020-11-13 14:17:29.400049"
"SSN","255901","2253","129","3506975534","2020-11-13 14:17:29.400530"
"Local","255901","2249","133","953","2020-11-13 14:17:29.423901"
"SSN","255901","2253","133","3965742729","2020-11-13 14:17:29.424335"
"Local","255901","2249","135","955","2020-11-13 14:17:29.431320"
"SSN","255901","2253","135","9232339825","2020-11-13 14:17:29.431779"
"Local","255901","2249","137","957","2020-11-13 14:17:29.451881"
"SSN","255901","2253","137","5102100491","2020-11-13 14:17:29.452370"
"Local","255901","2249","146","966","2020-11-13 14:17:29.509758"
"SSN","255901","2253","146","7242408910","2020-11-13 14:17:29.510252"
"Local","255901","2249","150","970","2020-11-13 14:17:29.533684"
"SSN","255901","2253","150","3237788660","2020-11-13 14:17:29.534104"
"Local","255901","2249","155","975","2020-11-13 14:17:29.563959"
"SSN","255901","2253","155","5572227343","2020-11-13 14:17:29.564443"
"Local","255901","2249","159","979","2020-11-13 14:17:29.589120"
"SSN","255901","2253","159","6664753925","2020-11-13 14:17:29.589745"
"Local","255901","2249","163","983","2020-11-13 14:17:29.859026"
"SSN","255901","2253","163","4998625857","2020-11-13 14:17:29.859572"
"Local","255901","2249","170","990","2020-11-13 14:17:29.888628"
"SSN","255901","2253","170","2030697992","2020-11-13 14:17:29.889066"
"Local","255901","2249","175","994","2020-11-13 14:17:29.916332"
"SSN","255901","2253","175","5749431363","2020-11-13 14:17:29.916839"
"Local","255901","2249","181","001","2020-11-13 14:17:29.995354"
"SSN","255901","2253","181","2438459792","2020-11-13 14:17:29.997362"
"Local","255901","2249","186","007","2020-11-13 14:17:30.041399"
"SSN","255901","2253","186","2413408654","2020-11-13 14:17:30.041815"
"Local","255901","2249","194","014","2020-11-13 14:17:30.093972"
"SSN","255901","2253","194","8806512881","2020-11-13 14:17:30.094410"
"Local","255901","2249","197","017","2020-11-13 14:17:30.118672"
"SSN","255901","2253","197","3452678557","2020-11-13 14:17:30.119300"
"Local","255901","2249","202","022","2020-11-13 14:17:30.150332"
"SSN","255901","2253","202","7057341632","2020-11-13 14:17:30.150782"
"Local","255901","2249","204","024","2020-11-13 14:17:30.165877"
"SSN","255901","2253","204","8642576774","2020-11-13 14:17:30.166349"
"Local","255901","2249","207","027","2020-11-13 14:17:30.189491"
"SSN","255901","2253","207","1392272912","2020-11-13 14:17:30.189945"
"Local","255901","2249","215","035","2020-11-13 14:17:30.239332"
"SSN","255901","2253","215","2588465992","2020-11-13 14:17:30.239930"
"Local","255901","2249","221","041","2020-11-13 14:17:30.272622"
"SSN","255901","2253","221","2909233043","2020-11-13 14:17:30.273020"
"Local","255901","2249","228","048","2020-11-13 14:17:30.320591"
"SSN","255901","2253","228","6465756525","2020-11-13 14:17:30.321157"
"Local","255901","2249","234","054","2020-11-13 14:17:30.358763"
"SSN","255901","2253","234","7998602145","2020-11-13 14:17:30.359276"
"Local","255901","2249","237","056","2020-11-13 14:17:30.371497"
"SSN","255901","2253","237","7268793692","2020-11-13 14:17:30.372033"
"Local","255901","2249","242","063","2020-11-13 14:17:30.419992"
"SSN","255901","2253","242","2857992825","2020-11-13 14:17:30.420424"
"Local","255901","2249","249","069","2020-11-13 14:17:30.466875"
"SSN","255901","2253","249","7184573017","2020-11-13 14:17:30.467327"
"Local","255901","2249","254","074","2020-11-13 14:17:30.510005"
"SSN","255901","2253","254","1294326604","2020-11-13 14:17:30.510422"
"Local","255901","2249","259","079","2020-11-13 14:17:30.540729"
"SSN","255901","2253","259","5508989010","2020-11-13 14:17:30.541372"
"Local","255901","2249","261","081","2020-11-13 14:17:30.559111"
"SSN","255901","2253","261","2475944938","2020-11-13 14:17:30.559642"
"Local","255901","2249","272","090","2020-11-13 14:17:30.616141"
"SSN","255901","2253","272","7656721837","2020-11-13 14:17:30.616568"
"Local","255901","2249","270","092","2020-11-13 14:17:30.631365"
"SSN","255901","2253","270","9356672052","2020-11-13 14:17:30.631917"
"Local","255901","2249","275","095","2020-11-13 14:17:30.650306"
"SSN","255901","2253","275","6129967351","2020-11-13 14:17:30.650823"
"Local","255901","2249","278","098","2020-11-13 14:17:30.674670"
"SSN","255901","2253","278","6474010456","2020-11-13 14:17:30.675159"
"Local","255901","2249","282","102","2020-11-13 14:17:30.707657"
"SSN","255901","2253","282","4131201332","2020-11-13 14:17:30.708213"
"Local","255901","2249","290","110","2020-11-13 14:17:30.758331"
"SSN","255901","2253","290","9453532080","2020-11-13 14:17:30.758740"
"Local","255901","2249","292","112","2020-11-13 14:17:30.767057"
"SSN","255901","2253","292","2385199170","2020-11-13 14:17:30.767537"
"Local","255901","2249","295","115","2020-11-13 14:17:30.790168"
"SSN","255901","2253","295","1357155111","2020-11-13 14:17:30.790732"
"Local","255901","2249","318","138","2020-11-13 14:17:30.937119"
"SSN","255901","2253","318","3842932644","2020-11-13 14:17:30.937567"
"Local","255901","2249","319","140","2020-11-13 14:17:30.956019"
"SSN","255901","2253","319","2326462289","2020-11-13 14:17:30.956498"
"Local","255901","2249","326","146","2020-11-13 14:17:30.992555"
"SSN","255901","2253","326","4542256311","2020-11-13 14:17:30.992996"
"Local","255901","2249","329","149","2020-11-13 14:17:31.014982"
"SSN","255901","2253","329","7102151702","2020-11-13 14:17:31.015474"
"Local","255901","2249","334","153","2020-11-13 14:17:31.039957"
"SSN","255901","2253","334","6144450108","2020-11-13 14:17:31.040435"
"Local","255901","2249","345","165","2020-11-13 14:17:31.113316"
"SSN","255901","2253","345","4102773550","2020-11-13 14:17:31.113777"
"Local","255901","2249","347","168","2020-11-13 14:17:31.136823"
"SSN","255901","2253","347","2914535171","2020-11-13 14:17:31.137298"
"Local","255901","2249","351","172","2020-11-13 14:17:31.160817"
"SSN","255901","2253","351","1688702500","2020-11-13 14:17:31.161240"
"Local","255901","2249","357","177","2020-11-13 14:17:31.189676"
"SSN","255901","2253","357","4083903700","2020-11-13 14:17:31.190104"
"Local","255901","2249","358","178","2020-11-13 14:17:31.200627"
"SSN","255901","2253","358","6754892786","2020-11-13 14:17:31.201114"
"Local","255901","2249","362","182","2020-11-13 14:17:31.227260"
"SSN","255901","2253","362","5786257839","2020-11-13 14:17:31.227731"
"Local","255901","2249","364","184","2020-11-13 14:17:31.236014"
"SSN","255901","2253","241","5755850517","2020-11-13 14:17:30.410869"
"Local","255901","2249","244","064","2020-11-13 14:17:30.433105"
"SSN","255901","2253","244","7079244070","2020-11-13 14:17:30.433929"
"Local","255901","2249","245","066","2020-11-13 14:17:30.443603"
"SSN","255901","2253","245","2832643910","2020-11-13 14:17:30.444067"
"Local","255901","2249","248","068","2020-11-13 14:17:30.466678"
"SSN","255901","2253","248","4646044159","2020-11-13 14:17:30.467156"
"Local","255901","2249","251","071","2020-11-13 14:17:30.475339"
"SSN","255901","2253","251","4279225608","2020-11-13 14:17:30.475720"
"Local","255901","2249","252","072","2020-11-13 14:17:30.499130"
"SSN","255901","2253","252","7754330530","2020-11-13 14:17:30.499567"
"Local","255901","2249","255","075","2020-11-13 14:17:30.515947"
"SSN","255901","2253","255","1645715576","2020-11-13 14:17:30.516385"
"Local","255901","2249","256","076","2020-11-13 14:17:30.524552"
"SSN","255901","2253","256","4608958711","2020-11-13 14:17:30.524968"
"Local","255901","2249","258","078","2020-11-13 14:17:30.538802"
"SSN","255901","2253","258","3999032924","2020-11-13 14:17:30.539236"
"Local","255901","2249","260","080","2020-11-13 14:17:30.548538"
"SSN","255901","2253","260","5793119542","2020-11-13 14:17:30.548975"
"Local","255901","2249","262","082","2020-11-13 14:17:30.568489"
"SSN","255901","2253","262","2491028169","2020-11-13 14:17:30.568889"
"Local","255901","2249","267","086","2020-11-13 14:17:30.590065"
"SSN","255901","2253","267","1286667316","2020-11-13 14:17:30.590823"
"Local","255901","2249","273","093","2020-11-13 14:17:30.639966"
"SSN","255901","2253","273","5166093975","2020-11-13 14:17:30.640510"
"Local","255901","2249","276","096","2020-11-13 14:17:30.659430"
"SSN","255901","2253","276","7347702037","2020-11-13 14:17:30.659879"
"Local","255901","2249","281","101","2020-11-13 14:17:30.691528"
"SSN","255901","2253","281","5248141218","2020-11-13 14:17:30.691988"
"Local","255901","2249","284","104","2020-11-13 14:17:30.713071"
"SSN","255901","2253","284","2032652678","2020-11-13 14:17:30.713586"
"Local","255901","2249","286","106","2020-11-13 14:17:30.732964"
"SSN","255901","2253","286","3408385729","2020-11-13 14:17:30.733519"
"Local","255901","2249","288","109","2020-11-13 14:17:30.745455"
"SSN","255901","2253","288","3777468552","2020-11-13 14:17:30.746107"
"Local","255901","2249","291","111","2020-11-13 14:17:30.764289"
"SSN","255901","2253","291","3248376917","2020-11-13 14:17:30.765021"
"Local","255901","2249","294","114","2020-11-13 14:17:30.784992"
"SSN","255901","2253","294","4542358263","2020-11-13 14:17:30.785430"
"Local","255901","2249","298","118","2020-11-13 14:17:30.812675"
"SSN","255901","2253","298","9413468777","2020-11-13 14:17:30.813121"
"Local","255901","2249","300","120","2020-11-13 14:17:30.820046"
"SSN","255901","2253","300","5618454705","2020-11-13 14:17:30.821114"
"Local","255901","2249","301","121","2020-11-13 14:17:30.834677"
"SSN","255901","2253","301","7324838707","2020-11-13 14:17:30.835132"
"Local","255901","2249","303","123","2020-11-13 14:17:30.842743"
"SSN","255901","2253","303","7125460898","2020-11-13 14:17:30.843201"
"Local","255901","2249","306","126","2020-11-13 14:17:30.861336"
"SSN","255901","2253","306","4459381873","2020-11-13 14:17:30.861892"
"Local","255901","2249","308","128","2020-11-13 14:17:30.872085"
"SSN","255901","2253","308","9151001251","2020-11-13 14:17:30.872573"
"Local","255901","2249","310","130","2020-11-13 14:17:30.885389"
"SSN","255901","2253","310","4038269236","2020-11-13 14:17:30.885857"
"Local","255901","2249","312","132","2020-11-13 14:17:30.900298"
"SSN","255901","2253","312","1644852979","2020-11-13 14:17:30.900806"
"Local","255901","2249","314","134","2020-11-13 14:17:30.912697"
"SSN","255901","2253","314","1396097294","2020-11-13 14:17:30.913081"
"Local","255901","2249","316","136","2020-11-13 14:17:30.926191"
"SSN","255901","2253","316","4650385874","2020-11-13 14:17:30.926750"
"Local","255901","2249","317","137","2020-11-13 14:17:30.937122"
"SSN","255901","2253","317","6022051261","2020-11-13 14:17:30.937588"
"Local","255901","2249","322","142","2020-11-13 14:17:30.971925"
"SSN","255901","2253","322","4098769238","2020-11-13 14:17:30.972354"
"Local","255901","2249","328","148","2020-11-13 14:17:31.007797"
"SSN","255901","2253","328","4451289577","2020-11-13 14:17:31.008250"
"Local","255901","2249","333","154","2020-11-13 14:17:31.041481"
"SSN","255901","2253","333","4188146470","2020-11-13 14:17:31.041937"
"Local","255901","2249","337","157","2020-11-13 14:17:31.064571"
"SSN","255901","2253","337","2728041498","2020-11-13 14:17:31.064966"
"Local","255901","2249","338","159","2020-11-13 14:17:31.078198"
"SSN","255901","2253","338","2152871309","2020-11-13 14:17:31.078704"
"Local","255901","2249","341","161","2020-11-13 14:17:31.089543"
"SSN","255901","2253","341","4366990908","2020-11-13 14:17:31.090122"
"Local","255901","2249","342","164","2020-11-13 14:17:31.110676"
"SSN","255901","2253","342","4016550956","2020-11-13 14:17:31.111219"
"Local","255901","2249","346","166","2020-11-13 14:17:31.120561"
"SSN","255901","2253","346","4759835013","2020-11-13 14:17:31.120969"
"Local","255901","2249","348","167","2020-11-13 14:17:31.129017"
"SSN","255901","2253","348","5957409857","2020-11-13 14:17:31.129481"
"Local","255901","2249","349","169","2020-11-13 14:17:31.138622"
"SSN","255901","2253","349","6598669282","2020-11-13 14:17:31.139097"
"Local","255901","2249","352","171","2020-11-13 14:17:31.156685"
"SSN","255901","2253","352","8317155192","2020-11-13 14:17:31.157163"
"Local","255901","2249","354","174","2020-11-13 14:17:31.173284"
"SSN","255901","2253","354","3474120598","2020-11-13 14:17:31.173867"
"Local","255901","2249","356","176","2020-11-13 14:17:31.186999"
"SSN","255901","2253","356","4873292068","2020-11-13 14:17:31.187553"
"Local","255901","2249","361","181","2020-11-13 14:17:31.216066"
"SSN","255901","2253","361","5919133352","2020-11-13 14:17:31.216729"
"Local","255901","2249","368","188","2020-11-13 14:17:31.262749"
"SSN","255901","2253","368","9336303705","2020-11-13 14:17:31.263255"
"Local","255901","2249","370","190","2020-11-13 14:17:31.282294"
"SSN","255901","2253","370","6291181941","2020-11-13 14:17:31.282756"
"Local","255901","2249","374","194","2020-11-13 14:17:31.310515"
"SSN","255901","2253","374","8641700622","2020-11-13 14:17:31.311033"
"Local","255901","2249","379","199","2020-11-13 14:17:31.334218"
"SSN","255901","2253","379","6580742528","2020-11-13 14:17:31.334705"
"Local","255901","2249","381","201","2020-11-13 14:17:31.351831"
"SSN","255901","2253","381","5631837432","2020-11-13 14:17:31.352361"
"Local","255901","2249","385","205","2020-11-13 14:17:31.392371"
"SSN","255901","2253","385","7649584688","2020-11-13 14:17:31.392841"
"Local","255901","2249","389","209","2020-11-13 14:17:31.413739"
"SSN","255901","2253","389","2897259750","2020-11-13 14:17:31.414172"
"Local","255901","2249","391","211","2020-11-13 14:17:31.432211"
"SSN","255901","2253","391","4160880371","2020-11-13 14:17:31.432644"
"Local","255901","2249","394","214","2020-11-13 14:17:31.443438"
"SSN","255901","2253","394","2955619811","2020-11-13 14:17:31.443916"
"Local","255901","2249","398","218","2020-11-13 14:17:31.473280"
"SSN","255901","2253","398","8401606986","2020-11-13 14:17:31.473787"
"Local","255901","2249","405","224","2020-11-13 14:17:31.507735"
"SSN","255901","2253","405","2098004480","2020-11-13 14:17:31.508163"
"Local","255901","2249","411","231","2020-11-13 14:17:31.558996"
"SSN","255901","2253","411","6030483101","2020-11-13 14:17:31.559463"
"Local","255901","2249","412","232","2020-11-13 14:17:31.567779"
"SSN","255901","2253","412","6717000148","2020-11-13 14:17:31.568203"
"Local","255901","2249","415","234","2020-11-13 14:17:31.580371"
"SSN","255901","2253","415","3209918479","2020-11-13 14:17:31.581178"
"Local","255901","2249","416","236","2020-11-13 14:17:31.590667"
"SSN","255901","2253","416","6829385403","2020-11-13 14:17:31.591057"
"Local","255901","2249","418","239","2020-11-13 14:17:31.609554"
"SSN","255901","2253","418","5713464026","2020-11-13 14:17:31.610006"
"Local","255901","2249","422","241","2020-11-13 14:17:31.617612"
"SSN","255901","2253","422","4065851389","2020-11-13 14:17:31.618063"
"Local","255901","2249","425","245","2020-11-13 14:17:31.642427"
"SSN","255901","2253","425","4509607912","2020-11-13 14:17:31.642851"
"Local","255901","2249","426","246","2020-11-13 14:17:31.658714"
"SSN","255901","2253","426","8972950906","2020-11-13 14:17:31.659213"
"Local","255901","2249","263","083","2020-11-13 14:17:30.567521"
"SSN","255901","2253","263","1344047465","2020-11-13 14:17:30.568019"
"Local","255901","2249","264","084","2020-11-13 14:17:30.578448"
"SSN","255901","2253","264","3090822952","2020-11-13 14:17:30.578868"
"Local","255901","2249","265","085","2020-11-13 14:17:30.587622"
"SSN","255901","2253","265","4081649830","2020-11-13 14:17:30.588110"
"Local","255901","2249","266","087","2020-11-13 14:17:30.596663"
"SSN","255901","2253","266","9137922486","2020-11-13 14:17:30.597146"
"Local","255901","2249","268","088","2020-11-13 14:17:30.606007"
"SSN","255901","2253","268","8353970530","2020-11-13 14:17:30.606407"
"Local","255901","2249","269","089","2020-11-13 14:17:30.616118"
"SSN","255901","2253","269","7326834888","2020-11-13 14:17:30.616576"
"Local","255901","2249","271","091","2020-11-13 14:17:30.625404"
"SSN","255901","2253","271","3338491817","2020-11-13 14:17:30.625908"
"Local","255901","2249","274","094","2020-11-13 14:17:30.647558"
"SSN","255901","2253","274","6300843169","2020-11-13 14:17:30.647990"
"Local","255901","2249","277","097","2020-11-13 14:17:30.668174"
"SSN","255901","2253","277","8400880448","2020-11-13 14:17:30.668637"
"Local","255901","2249","279","099","2020-11-13 14:17:30.679299"
"SSN","255901","2253","279","5398261944","2020-11-13 14:17:30.679745"
"Local","255901","2249","280","100","2020-11-13 14:17:30.689973"
"SSN","255901","2253","280","9472900392","2020-11-13 14:17:30.690390"
"Local","255901","2249","283","103","2020-11-13 14:17:30.707425"
"SSN","255901","2253","283","9828110728","2020-11-13 14:17:30.707934"
"Local","255901","2249","285","105","2020-11-13 14:17:30.719214"
"SSN","255901","2253","285","4845689026","2020-11-13 14:17:30.719719"
"Local","255901","2249","289","108","2020-11-13 14:17:30.740878"
"SSN","255901","2253","289","1442251884","2020-11-13 14:17:30.741342"
"Local","255901","2249","293","113","2020-11-13 14:17:30.775955"
"SSN","255901","2253","293","9809997696","2020-11-13 14:17:30.776383"
"Local","255901","2249","296","116","2020-11-13 14:17:30.794826"
"SSN","255901","2253","296","2403730720","2020-11-13 14:17:30.796001"
"Local","255901","2249","297","117","2020-11-13 14:17:30.805201"
"SSN","255901","2253","297","5594195413","2020-11-13 14:17:30.805716"
"Local","255901","2249","299","119","2020-11-13 14:17:30.815217"
"SSN","255901","2253","299","2275708683","2020-11-13 14:17:30.815653"
"Local","255901","2249","304","124","2020-11-13 14:17:30.845202"
"SSN","255901","2253","304","8341087600","2020-11-13 14:17:30.845693"
"Local","255901","2249","305","125","2020-11-13 14:17:30.858239"
"SSN","255901","2253","305","6720894725","2020-11-13 14:17:30.858834"
"Local","255901","2249","307","127","2020-11-13 14:17:30.869373"
"SSN","255901","2253","307","9117299917","2020-11-13 14:17:30.869791"
"Local","255901","2249","309","129","2020-11-13 14:17:30.885389"
"SSN","255901","2253","309","2968041900","2020-11-13 14:17:30.885841"
"Local","255901","2249","311","131","2020-11-13 14:17:30.898035"
"SSN","255901","2253","311","4680042802","2020-11-13 14:17:30.898510"
"Local","255901","2249","313","133","2020-11-13 14:17:30.912356"
"SSN","255901","2253","313","5366350859","2020-11-13 14:17:30.912769"
"Local","255901","2249","315","135","2020-11-13 14:17:30.922688"
"SSN","255901","2253","315","6026608321","2020-11-13 14:17:30.923112"
"Local","255901","2249","320","139","2020-11-13 14:17:30.947668"
"SSN","255901","2253","320","1293455229","2020-11-13 14:17:30.948207"
"Local","255901","2249","323","143","2020-11-13 14:17:30.971040"
"SSN","255901","2253","323","5588123268","2020-11-13 14:17:30.971481"
"Local","255901","2249","324","144","2020-11-13 14:17:30.981614"
"SSN","255901","2253","324","3573291633","2020-11-13 14:17:30.982008"
"Local","255901","2249","325","145","2020-11-13 14:17:30.989707"
"SSN","255901","2253","325","4245668182","2020-11-13 14:17:30.990080"
"Local","255901","2249","327","147","2020-11-13 14:17:30.998742"
"SSN","255901","2253","327","3115498610","2020-11-13 14:17:30.999151"
"Local","255901","2249","330","150","2020-11-13 14:17:31.017224"
"SSN","255901","2253","330","2380079237","2020-11-13 14:17:31.017789"
"Local","255901","2249","331","151","2020-11-13 14:17:31.024872"
"SSN","255901","2253","331","3735841238","2020-11-13 14:17:31.025481"
"Local","255901","2249","332","152","2020-11-13 14:17:31.033422"
"SSN","255901","2253","332","3469755703","2020-11-13 14:17:31.033814"
"Local","255901","2249","335","155","2020-11-13 14:17:31.048947"
"SSN","255901","2253","335","2312578191","2020-11-13 14:17:31.049380"
"Local","255901","2249","336","156","2020-11-13 14:17:31.058059"
"SSN","255901","2253","336","9236886989","2020-11-13 14:17:31.058463"
"Local","255901","2249","340","158","2020-11-13 14:17:31.065568"
"SSN","255901","2253","340","7415772076","2020-11-13 14:17:31.065944"
"Local","255901","2249","339","160","2020-11-13 14:17:31.086266"
"SSN","255901","2253","339","9780215439","2020-11-13 14:17:31.086709"
"Local","255901","2249","343","162","2020-11-13 14:17:31.094898"
"SSN","255901","2253","343","3118260175","2020-11-13 14:17:31.095327"
"Local","255901","2249","344","163","2020-11-13 14:17:31.103246"
"SSN","255901","2253","344","4598406036","2020-11-13 14:17:31.103669"
"Local","255901","2249","350","170","2020-11-13 14:17:31.147135"
"SSN","255901","2253","350","7278551130","2020-11-13 14:17:31.147690"
"Local","255901","2249","355","175","2020-11-13 14:17:31.181464"
